1499,66,540,8,1
2190,33,426,8,1
2745,66,1600,24,1
2744,50,420,8,1
1849,33,212,4,0
2989,66,424,8,0
2595,50,340,8,1
2744,66,528,16,1
2799,33,240,4,0
2565,33,340,8,1
1599,33,210,4,1
2144,33,214,4,1
2794,33,528,16,1
1995,25,426,8,1
2609,33,212,4,0
2444,66,214,4,1
2790,50,1000,24,1
2595,33,528,16,1
2344,66,528,8,1
1290,25,107,2,1
2195,33,720,16,1
2444,66,214,4,1
2444,100,850,16,1
1940,66,528,8,1
3344,66,1000,24,1
1890,33,214,4,1
1899,33,120,4,0
2390,33,426,8,1
3695,66,340,16,1
1999,50,245,4,1
2995,66,340,16,1
3299,66,1000,16,1
2159,66,540,8,1
2804,100,1000,24,1
2723,100,1200,24,1
2895,50,452,16,1
1904,66,528,8,1
2590,33,528,16,1
1559,66,212,4,1
2344,66,1000,16,1
1999,66,420,8,1
2190,66,528,8,1
2294,50,424,8,1
1890,33,214,4,1
1540,66,340,4,1
1999,66,420,8,1
2844,66,340,8,1
2769,66,340,8,0
2069,33,340,4,0
1288,33,340,4,1
1590,33,214,4,1
1788,66,425,4,1
2559,66,340,8,1
2575,66,250,8,1
2149,66,340,4,1
1599,66,540,8,1
1490,50,340,4,1
2699,33,240,4,0
3015,66,340,8,1
2190,33,426,8,1
2059,66,1000,8,1
2290,66,426,8,1
1995,66,340,4,1
2499,50,210,4,1
2344,66,1000,16,1
2520,50,212,8,1
2120,25,528,8,1
1695,33,420,4,1
1790,66,528,8,1
1399,33,130,4,1
2999,66,450,16,1
3044,33,1000,24,1
1990,25,130,4,1
2290,33,528,16,1
2465,66,540,8,1
2225,66,340,8,1
2690,50,528,16,1
2490,33,245,8,1
2899,66,527,16,1
2795,66,340,8,1
1395,33,214,4,1
1295,25,107,2,1
2095,33,426,8,1
2090,50,107,2,1
2099,66,245,4,1
1490,33,107,2,1
3144,100,528,16,1
1490,25,214,4,1
1295,25,212,4,1
2795,33,528,16,1
2545,50,1000,24,1
2149,66,245,4,1
1990,25,426,8,1
3090,66,340,16,1
2140,50,528,8,1
2854,33,1000,24,1
2944,33,528,16,1
1689,25,212,4,0
2473,100,850,16,1
1279,33,130,4,1
1399,25,270,4,1
1295,33,214,4,1
2690,33,528,16,1
2594,50,720,16,1
3048,33,270,4,0
1354,50,528,4,1
2623,50,1200,24,1
2145,66,420,8,1
2690,50,340,8,1
1398,66,340,4,1
1489,25,120,4,0
1995,66,212,8,1
2079,33,212,4,0
1599,25,170,4,1
1723,50,850,8,1
2995,66,528,16,1
4195,50,452,8,1
1854,100,850,8,1
1795,33,170,4,1
2240,50,1000,8,1
3148,66,345,16,1
2094,33,528,8,1
2443,33,720,16,1
1599,25,120,4,0
1395,33,107,2,1
2390,33,720,16,1
3094,33,1000,24,1
2935,50,250,8,1
1690,50,528,8,1
2095,100,214,4,1
2744,25,452,16,1
2849,50,340,8,1
2344,33,426,8,1
2844,33,528,16,1
1398,50,540,8,1
2625,66,250,8,1
2328,100,270,4,0
3149,66,230,8,1
2643,66,528,16,1
2690,66,528,16,1
1795,50,340,4,1
2220,33,250,8,1
2075,66,425,8,1
1520,33,424,4,1
2165,66,540,8,1
1999,66,540,16,1
2040,33,528,8,1
1440,50,340,4,1
2775,66,420,16,1
1544,66,528,4,1
2744,50,420,8,1
2575,50,250,8,1
3044,50,528,16,1
2390,66,850,16,1
1844,50,107,2,1
1995,50,212,8,1
2705,66,545,8,1
2490,100,426,8,1
1890,25,214,4,1
1299,25,120,4,1
2390,66,528,8,1
1299,66,270,4,1
3140,66,1000,24,1
1548,66,540,8,1
1499,50,545,4,1
2590,66,426,8,1
2395,75,426,8,1
2295,66,130,4,1
2145,50,170,4,1
3048,33,345,16,1
1945,50,250,4,1
1989,33,212,8,1
2745,33,1000,24,1
3090,33,1000,24,1
1795,66,425,8,1
2108,75,545,8,1
2099,66,425,8,1
2220,50,528,8,1
1994,50,214,4,1
2204,66,1000,16,1
2999,66,450,8,1
1268,50,428,4,1
3144,66,540,16,1
2795,50,528,16,1
1740,50,528,8,1
1709,50,540,8,1
2444,66,850,16,1
1973,33,528,8,1
1799,33,170,4,1
2545,66,340,8,1
1699,66,540,8,1
1844,66,850,8,1
2744,66,426,8,1
2345,50,720,16,1
2374,33,212,4,0
1744,33,214,4,1
1790,25,214,4,1
2590,25,528,16,1
1899,25,120,4,0
1795,33,528,8,1
2894,66,1000,24,1
3194,100,1000,24,1
2795,33,452,16,1
1349,33,270,4,0
2993,33,1000,24,1
2794,33,540,16,1
2295,50,424,8,1
1690,33,214,4,1
1775,33,170,4,1
2955,50,250,8,1
2175,66,250,4,1
1945,50,528,8,1
1595,33,212,4,1
2254,50,720,16,1
3095,66,1000,24,1
1898,66,420,8,1
2373,100,1000,16,1
2575,66,250,8,1
3714,66,527,8,0
1644,50,107,2,1
1765,33,425,8,1
1499,25,170,4,1
1779,50,270,4,0
2599,50,212,8,1
3995,66,1000,16,1
2604,50,1000,24,1
1744,50,107,2,1
1588,33,340,4,1
3094,50,452,16,1
3379,66,527,8,0
1675,25,120,4,0
1744,33,107,2,1
2744,25,528,16,1
3694,50,452,8,1
1345,66,528,8,1
1694,33,107,2,1
2944,66,340,8,1
2194,25,426,8,1
1468,50,340,4,1
2090,25,426,8,1
2290,66,214,4,1
3035,50,250,8,1
1595,66,214,4,1
1395,25,107,2,1
2390,66,214,4,1
1719,33,120,4,0
1468,66,428,4,1
1744,33,107,2,1
2744,25,528,16,1
2940,50,1000,24,1
1982,25,212,4,0
1449,25,120,4,0
2208,100,545,8,1
2339,66,425,8,1
2094,33,528,8,1
1259,25,120,4,0
1490,25,107,2,1
1824,66,545,4,1
2644,25,528,16,1
1499,33,210,4,1
2790,33,340,16,1
1799,33,170,4,1
3485,66,540,16,1
1544,25,107,2,1
2690,100,850,16,1
1799,66,340,4,1
2129,66,420,8,1
2645,66,540,8,1
2790,33,528,16,1
2444,50,426,8,1
2599,50,405,8,1
2095,66,1000,16,1
3795,66,500,8,1
1899,50,120,4,1
2590,66,528,16,1
2195,75,420,4,1
2890,50,528,16,1
2643,66,528,16,1
2195,66,426,8,1
1891,50,364,8,0
1199,33,340,4,1
2473,100,850,16,1
1990,33,214,4,1
1890,33,426,8,1
2595,25,452,16,1
2095,33,212,4,1
2189,33,212,4,0
2239,66,425,8,1
1490,50,340,4,1
1795,66,85,2,1
2545,50,720,16,1
2344,33,426,8,1
3019,66,340,8,0
2195,66,214,4,1
2819,66,212,4,0
2995,100,528,16,1
2144,25,426,8,1
2118,66,1000,8,1
1695,66,528,8,1
2090,33,528,8,1
2840,100,720,16,1
2744,66,426,8,1
2244,50,214,4,1
2290,66,107,2,1
2399,66,212,4,0
1499,33,212,4,1
1844,66,214,4,1
1865,33,250,4,1
1645,33,214,4,1
3928,100,728,8,0
2873,100,1000,24,1
2627,66,424,8,1
1995,33,250,4,1
2035,33,250,8,1
1744,66,528,8,1
2015,66,540,8,1
1349,66,270,8,1
1599,66,340,8,1
2244,75,214,4,1
2929,66,527,16,1
2304,100,1000,16,1
2144,33,214,4,1
2595,66,528,16,1
1799,66,250,4,1
1390,25,107,2,1
2394,50,426,8,1
3928,100,728,8,0
2554,66,1200,24,1
2744,25,528,16,1
2090,100,107,2,1
2899,100,527,16,1
2899,66,212,4,0
2090,25,214,4,1
2999,66,450,8,1
2225,33,250,8,1
2189,33,212,4,0
1999,66,730,8,1
1899,66,730,8,1
3205,66,545,8,1
2159,66,170,4,0
1544,33,107,2,1
1448,33,340,4,1
4999,66,525,8,1
2095,50,850,16,1
1995,33,214,4,1
1948,66,425,8,1
2125,66,250,8,1
2344,66,426,8,1
1908,66,545,4,1
2694,33,720,16,1
1799,66,425,8,1
1288,33,340,4,1
3145,66,424,16,1
2544,66,426,8,1
2245,33,250,8,1
1749,66,425,8,1
1754,66,528,8,1
2444,66,214,4,1
2943,33,1000,24,1
1854,33,528,8,1
2258,66,730,8,1
2699,66,245,8,1
2065,33,340,8,1
1944,50,107,2,1
1999,33,230,4,1
1945,33,340,8,1
1690,25,170,4,1
1645,50,528,8,1
1590,50,107,2,1
1998,66,730,8,1
2994,33,540,16,1
2349,100,420,8,1
1595,33,214,4,1
1490,33,107,2,1
2620,66,528,8,1
2409,66,1000,8,1
1990,66,528,8,1
1449,66,365,8,1
1745,33,528,8,1
1788,25,212,4,0
2449,33,230,4,1
1749,50,245,4,1
2834,66,426,8,1
2018,50,340,8,1
3144,66,528,16,1
2295,33,245,8,1
1195,33,214,4,1
2049,66,420,8,1
1599,33,210,4,1
2490,33,528,16,1
2290,50,214,4,1
2943,33,340,8,0
2035,100,1000,8,1
2995,66,540,16,1
1749,33,230,4,1
1999,66,527,8,1
1694,33,107,2,1
1995,25,426,8,1
2295,66,170,4,1
1695,33,528,8,1
2395,33,720,16,1
1639,33,120,4,0
2294,33,424,8,1
2599,50,212,8,1
1944,75,107,2,1
2290,50,214,4,1
1944,33,107,2,1
1795,33,240,4,1
1590,50,214,4,1
1399,25,170,4,1
2004,33,528,8,1
1994,50,107,2,1
2090,50,214,4,1
2554,75,1200,24,1
2575,50,210,4,1
2627,100,540,8,1
3094,66,340,4,0
2890,33,452,16,1
3789,66,527,8,0
2729,66,245,4,0
1849,33,340,4,0
2185,33,420,8,1
1795,33,214,4,1
1923,100,850,8,1
2895,50,452,16,1
2718,75,428,16,1
2915,66,1080,16,1
2099,66,420,8,1
1590,33,214,4,1
2890,75,528,16,1
2238,100,545,8,1
1699,33,340,4,1
3044,33,1000,24,1
2499,100,450,8,1
1644,66,340,4,1
1795,66,107,2,1
2999,66,450,16,1
1995,33,214,4,1
2345,50,250,8,1
1519,50,130,4,1
1574,50,270,4,0
1944,50,214,4,1
2599,50,230,4,1
2595,33,540,16,1
1999,66,720,8,1
2044,33,214,4,1
2093,33,528,8,1
2499,33,170,4,1
2144,25,426,8,1
1823,66,850,8,1
2688,33,270,4,0
2595,25,340,16,1
2090,66,214,4,1
2189,33,212,8,1
2395,33,340,8,1
1895,33,170,4,1
1895,25,130,4,1
2499,33,170,4,1
2225,33,250,8,1
2999,66,320,8,1
1490,25,214,4,1
2543,66,426,8,1
1995,100,107,2,1
2093,50,528,8,1
2590,33,426,8,1
1995,75,214,4,1
2129,66,420,8,1
2795,66,545,8,1
1890,33,107,2,1
1790,33,212,4,1
1344,25,107,2,1
1823,66,528,8,1
1615,100,1000,4,1
2695,66,528,8,1
2490,75,426,8,1
3948,33,345,16,1
2320,33,424,4,1
1970,66,420,4,1
2804,66,1000,24,1
2990,50,528,16,1
2499,33,212,4,0
2320,33,528,8,1
2690,100,426,8,1
2190,50,528,8,1
1805,33,425,8,1
2189,50,212,4,0
2690,66,1000,24,1
2744,50,340,8,1
1545,66,214,4,1
2444,100,850,16,1
2575,100,530,8,1
1795,33,85,2,1
2569,50,340,8,0
2095,50,214,4,1
2145,66,250,4,1
1790,66,730,8,1
2295,33,245,8,1
1690,33,107,2,1
2154,66,1000,16,1
2090,66,214,4,1
